icao;airport
UACK;Kokshetau Airport
UACP;Petropavl Airport
UADD;Taraz Airport (Jambyl Airport)
UAII;Shymkent International Airport
UAIT;Hazret-Sultan Turkistan International Airport
UAKD;Zhezkazgan Airport
UAKK;Sary-Arka Airport
UAOL;Krayniy Airport
UAOO;Kyzylorda Airport
UARR;Oral Ak Zhol Airport
UASB;Ekibastuz Airport
UASK;Oskemen Airport (Ust-Kamenogorsk Airport)
UASP;Pavlodar Airport
UASS;Semey Airport
UATE;Aktau Airport
UATG;Atyrau Airport
UATT;Aktobe Airport
UAUR;Arkalyk Airport
UAUU;Kostanay Airport
VLAP;Attapeu International Airport
VLHS;Ban Huoeisay Airport
VLKG;Khong Island Airport
VLLB;Luang Prabang International Airport
VLLN;Louang Namtha Airport
VLOS;Oudomsay Airport
VLPS;Pakse International Airport
VLSB;Sayaboury Airport
VLSK;Savannakhet Airport
VLSN;Nathong Airport
VLSV;Salavan Airport
VLTK;Thakhek Airport
VLVT;Wattay International Airport
VLXK;Xieng Khouang Airport
OLBA;Beirut-Rafic Hariri International Airport / Beirut Air Base
OLKA;Rene Mouawad Air Base (Kleyate Airport)
TFFG;L'Esperance Airport (Grand Case Airport)
TLPC;George F. L. Charles Airport
TLPL;Hewanorra International Airport
VCBI;Bandaranaike International Airport
VCCA;Anuradhapura Airport
VCCB;Batticaloa Airport
VCCC;Ratmalana Airport
VCCG;Ampara Airport
VCCH;Hingurakgoda Airport (Minneriya Airport)
VCCJ;Jaffna Airport
VCCK;Koggala Airport
VCCN;Katukurunda Airport
VCCS;Sigiriya Airport
VCCT;China Bay Airport
VCCW;Weerawila Airport
VCRI;Mattala Rajapaksa International Airport
GLBU;Buchanan Airport
GLCP;Cape Palmas Airport
GLGE;Greenville/Sinoe Airport (R.E. Murray Airport)
GLMR;Spriggs Payne Airport
GLNA;Nimba Airport
GLRB;Roberts International Airport
GLST;Sasstown Airport
GLTN;Tchien Airport
GLVA;Voinjama Airport (Tenebu Airport)
FXLK;Lebakeng Airport
FXLR;Leribe Airport
FXLS;Lesobeng Airport
FXMA;Matsaile Airport
FXMF;Mafeteng Airport
FXMK;Mokhotlong Airport
FXMM;Moshoeshoe I International Airport
FXNK;Nkaus Airport
FXPG;Pelaneng Airport
FXQG;Quthing Airport
FXQN;Qacha's Nek Airport
FXSH;Sehonghong Airport
FXSK;Sekake Airport
FXSM;Semonkong Airport
FXSS;Seshutes Airport
FXTA;Thaba Tseka Airport
FXTK;Tlokoeng Airport
EYKA;Kaunas International Airport
EYPA;Palanga International Airport
EYPP;Panevezys Air Base (Pajuostis Airport)
EYSA;Siauliai International Airport
EYVI;Vilnius Airport
ELLX;Luxembourg Findel Airport
EVDA;Daugavpils International Airport
EVLA;Liepaja International Airport
EVRA;Riga International Airport
EVVA;Ventspils International Airport
HLGD;Gardabya Airport
HLGN;Tobruk Airport
HLGT;Ghat Airport
HLKF;Kufra Airport
HLLB;Benina International Airport
HLLM;Mitiga International Airport
HLLQ;Al Abraq International Airport
HLLS;Sabha Airport
HLLT;Tripoli International Airport
HLMB;Marsa Brega Airport
HLMS;Misrata Airport
HLNR;Nafoora Airport
HLON;Hun Airport
HLTD;Ghadames Airport
HLUB;Ubari Airport
HLZN;Zintan Airport
HLZW;Zuwarah Airport
GMAD;Agadir-Al Massira Airport
GMAT;Tan Tan Airport (Plage Blanche Airport)
GMAZ;Zagora Airport
GMFB;Bouarfa Airport
GMFF;Fes-Saiss Airport
GMFK;Moulay Ali Cherif Airport
GMFM;Bassatine Air Base
GMFO;Angads Airport
GMMA;Smara Airport
GMMB;Ben Slimane Airport
GMMC;Anfa Airport
GMMD;Beni Mellal Airport
GMME;Rabat-Sale Airport
GMMF;Sidi Ifni Airport (Sania Ramel Airport)
GMMH;Dakhla Airport
GMMI;Essaouira-Mogador Airport
GMML;Hassan I Airport
GMMN;Mohammed V International Airport
GMMS;Safi Airport
GMMW;Nador International Airport
GMMX;Marrakesh Menara Airport
GMMY;Kenitra Air Base
GMMZ;Ouarzazate Airport
GMTA;Cherif Al Idrissi Airport
GMTT;Tangier Ibn Battouta Airport
LUBL;Balti International Airport
LUKK;Chisinau International Airport
LYBR;Dolac Airport
LYPG;Podgorica Airport
LYTV;Tivat Airport
FMFE;Ambohibary Airport
FMMC;Malaimbandy Airport
FMME;Antsirabe Airport
FMMG;Antsalova Airport
FMMH;Mahanoro Airport
FMMI;Ivato International Airport
FMMK;Ankavandra Airport
FMML;Belo sur Tsiribihina Airport
FMMN;Miandrivazo Airport
FMMO;Maintirano Airport
FMMQ;Ilaka-Est Airport (Atsinanana Airport)
FMMR;Morafenobe Airport
FMMS;Sainte Marie Airport
FMMT;Toamasina Airport
FMMU;Tambohorano Airport
FMMV;Morondava Airport
FMMX;Tsiroanomandidy Airport
FMMY;Vatomandry Airport
FMMZ;Ambatondrazaka Airport
FMNC;Mananara Nord Airport
FMNF;Befandriana Airport
FMNG;Port Berge Airport
FMNL;Analalava Airport
FMNM;Amborovy Airport (Philibert Tsiranana Airport)
FMNO;Soalala Airport
FMNP;Mampikony Airport
FMNQ;Besalampy Airport
FMNR;Maroantsetra Airport
FMNT;Tsaratanana Airport
FMNW;Ambalabe Airport
FMNX;Mandritsara Airport
FMSB;Antsoa Airport
FMSC;Mandabe Airport
FMSD;Tolanaro Airport (Marillac Airport)
FMSF;Fianarantsoa Airport
FMSG;Farafangana Airport
FMSI;Ihosy Airport
FMSJ;Manja Airport
FMSK;Manakara Airport
FMSL;Bekily Airport
FMSM;Mananjary Airport
FMSN;Samangoky Airport
FMSR;Morombe Airport
FMST;Toliara Airport
FMSU;Vangaindrano Airport
FMSV;Betioky Airport
FMSY;Ampanihy Airport
FMSZ;Ankazoabo Airport
MLIP;Mili Airport
PKMA;Enewetak Auxiliary Airfield
PKMJ;Marshall Islands International Airport (Amata Kabua Int'l)
PKWA;Bucholz Army Airfield
LWOH;Ohrid St. Paul the Apostle Airport
LWSK;Skopje Alexander the Great Airport
GABS;Bamako-Senou International Airport
GAGM;Goundam Airport
GAGO;Gao International Airport (Korogoussou Airport)
GAKA;Kenieba Airport
GAKO;Koutiala Airport
GAKY;Kayes Airport (Dag-Dag Airport)
GAMB;Mopti Airport (Ambodedjo Airport)
GANK;Keibane Airport
GANR;Nioro Airport
GASK;Sikasso Airport
GATB;Timbuktu Airport
GAYE;Yelimane Airport
VBHD;Hinthada Airport
VYAN;Ann Airport
VYBG;Nyaung U Airport
VYBM;Bhamo Airport
VYBP;Bokpyin Airport
VYCZ;Mandalay Chanmyathazi Airport
VYDW;Dawei Airport
VYGG;Gangaw Airport
VYGW;Gwa Airport
VYHH;Heho Airport
VYHL;Homalin Airport
VYHN;Tilin Airport
VYKG;Kengtung Airport
VYKI;Khamti Airport
VYKL;Kalaymyo Airport (Kalemyo Airport)
VYKP;Kyaukpyu Airport
VYKT;Kawthaung Airport
VYKU;Kyauktu Airport
VYLK;Loikaw Airport
VYLS;Lashio Airport
VYMD;Mandalay International Airport
VYME;Myeik Airport
VYMK;Myitkyina Airport
VYMM;Mawlamyaing Airport
VYMN;Manaung Airport
VYMO;Momeik Airport
VYMS;Monghsat Airport
VYMT;Mong Ton Airport
VYMW;Magway Airport
VYMY;Monywa Airport
VYNS;Nansang Airport
VYNT;Naypyidaw International Airport
VYPA;Hpa-An Airport
VYPK;Pauk Airport
VYPN;Pathein Airport
VYPP;Papun Airport
VYPT;Putao Airport
VYPU;Pakokku Airport
VYPY;Pyay Airport
VYSW;Sittwe Airport
VYTD;Thandwe Airport
VYTL;Tachilek Airport
VYYE;Ye Airport
VYYY;Yangon International Airport
ZMAH;Arvaikheer Airport
ZMAT;Altai Airport
ZMBH;Bayankhongor Airport
ZMBN;Bulgan Airport
ZMBR;Bulagtai Airport
ZMBS;Bulgan Airport
ZMBU;Baruun-Urt Airport
ZMCD;Choibalsan Airport
ZMCK;Chinggis Khaan International Airport
ZMDN;Donoi Airport
ZMDZ;Dalanzadgad Airport
ZMHG;Khatgal Airport
ZMHH;Kharkhorin Airport
ZMHU;Khujirt Airport
ZMKD;Khovd Airport
ZMMG;Mandalgovi Airport
ZMMN;Moron Airport
ZMTG;Tsetserleg Airport
ZMTL;Tosontsengel Airport
ZMUB;Chinggis Khaan International Airport
ZMUG;Ulaangom Airport
ZMUH;Ondorkhaan Airport
ZMUL;Olgii Airport
VMMC;Macau International Airport
PGRO;Rota International Airport
PGSN;Saipan International Airport (Francisco C. Ada Int'l)
PGWT;Tinian International Airport (West Tinian Airport)
TFFF;Martinique Aime Cesaire International Airport
GQNA;Aioun el Atrouss Airport
GQNB;Boutilimit Airport
GQNC;Tichitt Airport
GQND;Tidjikja Airport
GQNE;Abbaye Airport
GQNF;Kiffa Airport
GQNH;Timbedra Airport
GQNI;Nema Airport
GQNJ;Akjoujt Airport
GQNK;Kaedi Airport
GQNL;Letfotar Airport
GQNO;Nouakchott-Oumtounsy International Airport
GQNS;Selibaby Airport
GQNT;Tamchakett Airport
GQNU;M'Bout Airport
GQPA;Atar International Airport
GQPF;Fderik Airport
GQPP;Nouadhibou International Airport
GQPZ;Tazadit Airport
TRPG;John A. Osborne Airport
LMML;Malta International Airport (Luqa Airport)
FIMP;Sir Seewoosagur Ramgoolam International Airport
FIMR;Sir Gaetan Duval Airport
VREI;Ifuru Airport
VRMD;Dharavandhoo Airport
VRMF;Fuvahmulah Airport
VRMG;Gan International Airport
VRMH;Hanimaadhoo International Airport
VRMK;Kadhdhoo Airport
VRMM;Velana International Airport
VRMO;Kooddoo Airport
VRMT;Kaadedhdhoo Airport
VRMU;Dhaalu Atoll Kudahuvadhoo Airport
VRMV;Villa International Airport
VRNT;Thimarafushi Airport
FWCD;Chelinda Airport
FWCL;Chileka International Airport
FWCM;Club Makokola Airport
FWDW;Dwanga Airport (Dwangwa Airport)
FWKA;Karonga Airport
FWKG;Kasungu Airport
FWKI;Lilongwe International Airport (Kamuzu Int'l)
FWLK;Likoma Airport
FWMG;Mangochi Airport
FWMY;Monkey Bay Airport
FWSM;Salima Airport
FWUU;Mzuzu Airport
MMAA;General Juan N. Alvarez International Airport
MMAN;Del Norte International Airport
MMAS;Lic. Jesus Teran Peredo International Airport
MMBT;Bahias de Huatulco International Airport
MMCA;Cananea National Airport
MMCB;General Mariano Matamoros Airport
MMCC;Ciudad Acuna International Airport
MMCE;Ciudad del Carmen International Airport
MMCG;Nuevo Casas Grandes Municipal Airport
MMCL;Bachigualato Federal International Airport
MMCM;Chetumal International Airport
MMCN;Ciudad Obregon International Airport
MMCO;Copalar Airport
MMCP;Ing. Alberto Acuna Ongay International Airport
MMCS;Abraham Gonzalez International Airport
MMCT;Chichen Itza International Airport
MMCU;General Roberto Fierro Villalobos International Airport
MMCV;General Pedro J. Mendez International Airport
MMCY;Captain Rogelio Castillo National Airport
MMCZ;Cozumel International Airport
MMDM;Ciudad Mante National Airport
MMDO;General Guadalupe Victoria International Airport
MMEP;Amado Nervo International Airport
MMES;Ensenada Airport
MMGL;Guadalajara International Airport (Miguel Hidalgo y Costilla Int'l)
MMGM;General Jose Maria Yanez International Airport
MMGR;Guerrero Negro Airport
MMHC;Tehuacan Airport
MMHO;General Ignacio Pesqueira Garcia International Airport
MMIA;Licenciado Miguel de la Madrid Airport
MMIM;Isla Mujeres Airport
MMIO;Plan de Guadalupe International Airport
MMIT;Ixtepec Airport
MMJA;El Lencero Airport
MMJC;Jorge Jimenez Cantu National Airport
MMLC;Lazaro Cardenas Airport
MMLM;Valle del Fuerte Federal International Airport
MMLO;Del Bajio International Airport (Guanajuato Int'l Airport)
MMLP;Manuel Marquez de Leon International Airport
MMLT;Loreto International Airport
MMMA;General Servando Canales International Airport
MMMD;Manuel Crescencio Rejon International Airport
MMMG;Mulege Airstrip
MMML;General Rodolfo Sanchez Taboada International Airport
MMMM;General Francisco J. Mujica International Airport
MMMT;Minatitlan/Coatzacoalcos International Airport
MMMV;Venustiano Carranza International Airport
MMMX;Mexico City International Airport
MMMY;General Mariano Escobedo International Airport
MMMZ;General Rafael Buelna International Airport
MMNG;Nogales International Airport
MMNL;Quetzalcoatl International Airport
MMOX;Xoxocotlan International Air
MMPA;El Tajin National Airport
MMPB;Hermanos Serdan International Airport
MMPE;Puerto Penasco International Airport
MMPG;Piedras Negras International Airport
MMPL;Punta Colorada Airstrip
MMPN;Ignacio Lopez Rayon International Airport
MMPQ;Palenque International Airport
MMPR;Licenciado Gustavo Diaz Ordaz International Airport
MMPS;Puerto Escondido International Airport
MMQT;Queretaro Intercontinental Airport
MMRX;General Lucio Blanco International Airport
MMSD;Los Cabos International Airport
MMSF;San Felipe International Airport
MMSM;Felipe Ángeles International Airport
MMSP;Ponciano Arriaga International Airport
MMSZ;Salina Cruz Airport
MMTC;Francisco Sarabia International Airport
MMTG;Angel Albino Corzo International Airport
MMTJ;Tijuana International Airport
MMTL;Tulum Felipe Carrillo Puerto Airport
MMTM;General Francisco Javier Mina International Airport
MMTN;Tamuin National Airport
MMTO;Licenciado Adolfo Lopez Mateos International Airport
MMTP;Tapachula International Airport
MMTU;Tulum Airbase
MMUN;Cancun International Airport
MMVA;Carlos Rovirosa Perez International Airport
MMVR;General Heriberto Jara International Airport
MMZC;General Leobardo C. Ruiz International Airport
MMZH;Ixtapa-Zihuatanejo International Airport
MMZM;Zamora National Airport
MMZO;Playa de Oro International Airport
MX86;Punta Abreojos Airstrip
WBGB;Bintulu Airport
WBGC;Belaga Airport
WBGD;Long Semado Airport
WBGF;Long Lellang Airport
WBGG;Kuching International Airport
WBGI;Long Seridan Airport
WBGJ;Limbang Airport
WBGK;Mukah Airport
WBGL;Long Akah Airport
WBGM;Marudi Airport
WBGN;Sematan Airport
WBGP;Kapit Airport
WBGQ;Bakelalan Airport
WBGR;Miri Airport
WBGS;Sibu Airport
WBGU;Long Sukang Airport
WBGW;Lawas Airport
WBGY;Simanggang Airport
WBGZ;Bario Airport
WBKA;Semporna Airport
WBKD;Lahad Datu Airport
WBKE;Telupid Airport
WBKG;Keningau Airport
WBKH;Sahabat Airport
WBKK;Kota Kinabalu International Airport
WBKL;Labuan Airport
WBKM;Tommanggong Airport
WBKN;Long Pasia Airport
WBKO;Sepulot Airport
WBKP;Pamol Airport
WBKR;Ranau Airport
WBKS;Sandakan Airport
WBKT;Kudat Airport
WBKW;Tawau Airport
WBMU;Mulu Airport
WBTM;Tanjung Manis Airport
WMAN;Sungai Tiang Airport
WMAU;Mersing Airport
WMBA;Sitiawan Airport
WMBI;Taiping Airport
WMBT;Tioman Airport
WMKA;Sultan Abdul Halim Airport
WMKB;RMAF Butterworth
WMKC;Sultan Ismail Petra Airport
WMKD;Sultan Haji Ahmad Shah Airport (RMAF Kuantan)
WMKE;Kerteh Airport
WMKI;Sultan Azlan Shah Airport
WMKJ;Senai International Airport
WMKK;Kuala Lumpur International Airport
WMKL;Langkawi International Airport
WMKM;Malacca International Airport
WMKN;Sultan Mahmud Airport
WMKP;Penang International Airport
WMPA;Pangkor Airport
WMPR;Redang Airport
WMSA;Sultan Abdul Aziz Shah Airport
FQAG;Angoche Airport
FQBR;Beira Airport
FQCB;Cuamba Airport
FQCH;Chimoio Airport
FQIA;Inhaca Airport
FQIB;Ibo Island Airport
FQIN;Inhambane Airport
FQLC;Lichinga Airport
FQLU;Lumbo Airport
FQMA;Maputo International Airport
FQMD;Mueda Airport
FQMP;Mocimboa da Praia Air
FQNC;Nacala Airport
FQNP;Nampula Airport
FQPB;Pemba Airport
FQPO;Ponta do Ouro Airport
FQQL;Quelimane Airport
FQTT;Chingozi Airport
FQVL;Vilankulo Airport
FQXA;Xai-Xai Airport
FYAA;Ai-Ais Airport
FYAR;Arandis Airport
FYGB;Gobabis Airport
FYGF;Grootfontein Air Base
FYHI;Halali Airport
FYKB;Karasburg Airport
FYKM;Katima Mulilo Airport (Mpacha Airport)
FYKT;Keetmanshoop Airport
FYLS;Lianshulu Airport
FYLZ;Luderitz Airport
FYME;Mount Etjo Airport
FYMG;Midgard Airport
FYMO;Mokuti Lodge Airport
FYNA;Namutoni Airport
FYNG;Ongava Airstrip
FYOA;Ondangwa Airport
FYOE;Omega Airport
FYOG;Oranjemund Airport
FYOO;Okaukuejo Airport
FYOP;Opuwa Airport
FYOS;Oshakati Airport
FYOW;Otjiwarongo Airport
FYRU;Rundu Airport
FYSA;Skorpion Mine Airport
FYSM;Swakopmund Airport
FYSS;Sesriem Airport
FYTE;Terrace Bay Airport
FYTM;Tsumeb Airport
FYWB;Walvis Bay Airport
FYWE;Eros Airport
FYWH;Hosea Kutako International Airport
NWWA;Tiga Airport
NWWC;Ile Art - Waala Airport
NWWD;Kone Airport
NWWE;Ile des Pins Airport
NWWK;Koumac Airport
NWWL;Ouanaham Airport
NWWM;Noumea Magenta Airport
NWWP;Malabou Airport
NWWQ;Mueo/Nickel Airport
NWWR;Mare Airport
NWWU;Touho Airport
NWWV;Ouvea Airport (Ouloup Airp
NWWW;La Tontouta International Airport
DRRM;Maradi Airport
DRRN;Diori Hamani International Airport
DRRT;Tahoua Airport
DRZA;Mano Dayak International Airport
DRZL;Arlit Airport
DRZR;Zinder Airport
YSNF;Norfolk Island Airport
DNAA;Nnamdi Azikiwe International Airport
DNAI;Akwa Ibom International Airport
DNAK;Akure Airport
DNAS;Asaba International Airport
DNBE;Benin Airport
DNCA;Margaret Ekpo International Airport
DNEN;Akanu Ibiam International Airport
DNGO;Gombe Lawanti International Airport
DNIB;Ibadan Airport
DNIL;Ilorin International Airport
DNIM;Sam Mbakwe Airport
DNJO;Yakubu Gowon Airport
DNKA;Kaduna Airport
DNKN;Mallam Aminu Kano International Airport
DNMA;Maiduguri International Airport
DNMK;Makurdi Airport
DNMM;Murtala Muhammed International Airport
DNMN;Minna Airport
DNPO;Port Harcourt International Airport
DNSO;Sadiq Abubakar III International Airport
DNSU;Warri Airport (Osubi Airport)
DNYO;Yola Airport
DNZA;Zaria Airport
MNBL;Bluefields Airport
MNBZ;San Pedro Airport
MNCE;Costa Esmeralda Airport
MNCI;Corn Island Airport
MNMG;Augusto C. Sandino International Airport
MNNG;Nueva Guinea Airport
MNPC;Puerto Cabezas Airport
MNRT;Rosita Airport
MNSC;San Carlos Airport
MNSI;Siuna Airport
MNWP;Waspam Airport
EHAM;Amsterdam Airport Schiphol
EHBK;Maastricht Aachen Airport
EHEH;Eindhoven Airport
EHGG;Groningen Airport Eelde
EHGR;Gilze-Rijen Air Base
EHKD;De Kooy Airfield
EHLE;Lelystad Airport
EHLW;Leeuwarden Air Base
EHRD;Rotterdam The Hague Airport
EHSB;Soesterberg Air Base
EHSE;Breda International Airport
EHTE;Teuge International Airport
EHTW;Enschede Airport Twente
EHVK;Volkel Air Base
EHWO;Woensdrecht Air Base
ENAL;Alesund Airport
ENAN;Andoya Airport
ENAT;Alta Airport
ENBL;Forde Airport
ENBN;Bronnoysund Airport
ENBO;Bodo Airport
ENBR;Bergen Airport
ENBS;Batsfjord Airport
ENBV;Berlevag Airport
ENCN;Kristiansand Airport
ENDU;Bardufoss Airport
ENEV;Harstad/Narvik Airport
ENFG;Fagernes Airport
ENFL;Floro Airport
ENGM;Oslo Airport
ENHA;Hamar Airport
ENHD;Haugesund Airport
ENHF;Hammerfest Airport
ENHK;Hasvik Airport
ENHV;Honningsvag Airport
ENKB;Kristiansund Airport
ENKL;Gol Airport
ENKR;Kirkenes Airport
ENLK;Leknes Airport
ENMH;Mehamn Airport
ENML;Molde Airport
ENMS;Mosjoen Airport
ENNA;Lakselv Airport
ENNK;Narvik Airport
ENNM;Namsos Airport
ENNO;Notodden Airport
ENOL;Orland Airport
ENOV;Orsta-Volda Airport
ENRA;Mo i Rana Airport
ENRM;Rorvik Airport
ENRO;Roros Airport
ENRS;Rost Airport
ENRY;Moss Airport
ENSD;Sandane Airport
ENSG;Sogndal Airport
ENSH;Svolvaer Airport
ENSK;Stokmarknes Airport
ENSN;Skien Airport
ENSO;Stord Airport
ENSR;Sorkjosen Airport
ENSS;Varddo Air
ENST;Sandnessjoen Airport
ENTC;Tromse Airport
ENTO;Sandefjord Airport
ENVA;Trondheim Airport
ENVD;Vadso Airport
ENZV;Stavanger Airport
VNBG;Bajhang Airport
VNBJ;Bhojpur Airport
VNBL;Balewa Airport
VNBP;Bharatpur Airport
VNBR;Bajura Airport
VNBT;Baitadi Airport
VNBW;Gautam Buddha Airport
VNCG;Bhadrapur Airport (Chandragadhi Airport)
VNDG;Tribhuvannagar Airport (Dang Airport)
VNDH;Dhangadhi Airport
VNDL;Darchula Airport
VNDP;Dolpa Airport
VNDT;Silgadhi Airport
VNGK;Palungtar Airport
VNJI;Jiri Airport
VNJL;Jumla Airport
VNJP;Janakpur Airport
VNJS;Jomsom Airport
VNKT;Tribhuvan International Airport
VNLD;Lamidanda Airport
VNLK;Tenzing-Hillary Airport
VNLT;Langtang Airport
VNMA;Manang Airport
VNMG;Meghauli Airport
VNMN;Mahendranagar Airport
VNNG;Nepalgunj Airport
VNPK;Pokhara Airport
VNPL;Phaplu Airport
VNRB;Rajbiraj Airport
VNRC;Ramechhap Airport
VNRK;Chaurjahari Airport
VNRP;Rolpa Airport
VNRT;Rumjatar Airport
VNSB;Syangboche Airport
VNSI;Simara Airport
VNSK;Surkhet Airport
VNSR;Sanfebagar Airport
VNST;Simikot Airport
VNTJ;Taplejung Airport
VNTP;Tikapur Airport
VNTR;Tumlingtar Airport
VNVT;Biratnagar Airport
ANYN;Nauru International Airport
NIUE;Niue International Airport (Hanan Int'l)
NZAA;Auckland Airport
NZAP;Taupo Airport
NZAR;Ardmore Airport
NZAS;Ashburton Aerodrome
NZCH;Christchurch International Airport
NZCI;Chatham Islands / Tuuta Airport
NZCX;Coromandel Aerodrome
NZDA;Dargaville Aerodrome
NZDN;Dunedin International Airport
NZFF;Forest Field Aerodrome
NZGB;Great Barrier Aerodrome
NZGM;Greymouth Airport
NZGS;Gisborne Airport
NZGT;Glentanner Aerodrome
NZHK;Hokitika Airport
NZHN;Hamilton Airport
NZKE;Waiheke Island Aerodrome
NZKI;Kaikoura Aerodrome
NZKK;Kerikeri Airport (Bay of Islands Airport)
NZKO;Kaikohe Aerodrome
NZKT;Kaitaia Airport
NZLX;Alexandra Aerodrome
NZMA;Matamata Airport
NZMC;Mount Cook Aerodrome
NZMF;Milford Sound Airport
NZMK;Motueka Aerodrome
NZMO;Te Anau Airport (Manapouri Airport)
NZMS;Hood Aerodrome
NZNP;New Plymouth Airport
NZNR;Hawke's Bay Airport
NZNS;Nelson Airport
NZNV;Invercargill Airport
NZOH;RNZAF Base Ohakea
NZOU;Oamaru Airport
NZPM;Palmerston North Airport
NZPN;Picton Aerodrome
NZPP;Kapiti Coast Airport
NZQN;Queenstown Airport
NZRA;Raglan Aerodrome
NZRC;Ryan's Creek Aerodrome
NZRO;Rotorua Regional Airport
NZRT;Rangiora Airfield WMS
NZTG;Tauranga Airport
NZTH;Thames Aerodrome
NZTK;Takaka Aerodrome
NZTO;Tokoroa Aerodrome
NZTU;Richard Pearse Airport
NZUK;Pukaki Airport
NZWB;Woodbourne Airport
NZWF;Wanaka Airport
NZWK;Whakatane Airport
NZWN;Wellington International Airport
NZWO;Wairoa Aerodrome
NZWR;Whangarei Airport
NZWS;Westport Airport
NZWT;Whitianga Aerodrome
NZWU;Whanganui Airport
AYNO;Nomane Airport
FZSB;Kamina Airport (Kamina Ville Airport)
MDLR;La Romana International Airport (Casa de Campo International Airport)
OOBR;Buraimi Airport
OOFD;Fahud Airport
OOGB;Qarn Alam Airport
OOKB;Khasab Airport
OOLK;Lekhwair Airport
OOMA;Masirah Air Base
OOMS;Muscat International Airport
OOMX;Marmul Airport
OORQ;Al-Musannah Airport
OOSA;Salalah International Airport
OOSH;Sohar Airport
OOSR;Sur Airport
OOTH;RAFO Thumrait
MPBO;Bocas del Toro Isla Colon International Airport
MPCE;Chitre Alonso Valderrama Airport
MPCH;Changuinola Capitan Manuel Nino International Airport
MPDA;Enrique Malek International Airport
MPEJ;Enrique Adolfo Jimenez Airport
MPHO;Panama Pacifico International Airport
MPJE;Jaque Airport
MPLP;Captain Ramon Xatruch Airport
MPMG;Albrook Marcos A. Gelabert International Airport
MPOA;Puerto Obaldia Airport
MPSA;Ruben Cantu Airport
MPSM;Scarlett Martinez International Airport
MPTO;Tocumen International Airport
MPVR;El Porvenir Airport
MPWN;Wannukandi Airport
SPAR;Alerta Airport
SPAY;Tnte. Gral. Gerardo Perez Pinedo Airport
SPBB;Moyobamba Airport
SPBL;Huallaga Airport
SPBR;Iberia Airport
SPCL;FAP Captain David Abensur Rengifo International Airport
SPDR;Trompeteros Airport
SPEO;Tnte. FAP Jaime Montreuil Morales Airport
SPGM;Tingo Maria Airport
SPHI;FAP Captain Jose Abelardo Quinones Gonzales International Airport
SPHO;Coronel FAP Alfredo Mendivil Duarte Airport
SPHY;Andahuaylas Airport
SPHZ;Comandante FAP German Arias Graziani Airport
SPIL;Quince Mil Airport
SPIM;Jorge Chavez International Airport
SPJA;Juan Simons Vela Airport
SPJE;Jaen Airport
SPJI;Juanjui Airport
SPJJ;Francisco Carle Airport
SPJL;Inca Manco Capac International Airport
SPJN;San Juan de Marcona Airport
SPJR;Mayor General FAP Armando Revoredo Iglesias Airport
SPLN;San Nicolas Airport
SPLO;Ilo Airport
SPME;Cap. FAP Pedro Canga Rodriguez Airport
SPMF;Manuel Prado Ugarteche Airport
SPMR;Santa Maria Airport
SPMS;Moises Benzaquen Rengifo Airport
SPNC;Alferez FAP David Figueroa Fernandini Airport
SPOA;Saposoa Airport
SPPY;Chachapoyas Airport
SPQT;Coronel FAP Francisco Secada Vignetta International Airport
SPQU;Rodriguez Ballon International Airport
SPRU;FAP Captain Carlos Martinez de Pinillos International Airport
SPSO;Capitan FAP Renan Elias Olivera Airport
SPST;Cad. FAP Guillermo del Castillo Paredes Airport
SPSY;Shiringayoc Airport
SPTN;Coronel FAP Carlos Ciriani Santa Rosa International Airport
SPTU;Padre Aldamiz International Airport
SPUR;FAP Captain Guillermo Concha Iberico International Airport
SPYL;Capitan FAP VIctor Montes Arias International Airport
SPZA;Maria Reiche Neuman Airport
SPZO;Alejandro Velasco Astete International Airport
NTAA;Fa'a'a International Airport
NTAM;Rimatara Airport
NTAR;Rurutu Airport
NTAT;Tubuai - Mataura Airport
NTAV;Raivavae Airport
NTGA;Anaa Airport
NTGB;Fangatau Airport
NTGC;Tikehau Airport
NTGD;Apataki Airport
NTGE;Reao Airport
NTGF;Fakarava Airport
NTGH;Hikueru Airport
NTGI;Manihi Airport
NTGJ;Totegegie Airport (Gambier Island Airport)
NTGK;Kaukura Airport
NTGM;Makemo Airport
NTGN;Napuka Airport
NTGO;Tatakoto Airport
NTGP;Puka-Puka Airport
NTGQ;Pukarua Airport
NTGT;Takapoto Airport
NTGU;Arutua Airport
NTGV;Mataiva Airport
NTGW;Nukutavake Airport
NTGY;Tureia Airport
NTHE;Ahe Airport
NTKA;Kauehi Airport
NTKF;Faaite Airport
NTKH;Fakahina Airport
NTKK;Aratika-Nord Airport
NTKM;Takume Airport
NTKN;Niau Airport
NTKO;Raroia Airport
NTKR;Takaroa Airport
NTKT;Katiu Airport
NTMD;Nuku Hiva Airport
NTMN;Atuona Airport
NTMP;Ua Pou Airport
NTMU;Ua Huka Airport
NTTB;Bora Bora Airport (Motu Mute Airport)
NTTE;Tetiaroa Airport
NTTG;Rangiroa Airport
NTTH;Huahine - Fare Airport
NTTM;Moorea Airport (Temae Airport)
NTTO;Hao Airport
NTTP;Maupiti Airport
NTTR;Raiatea Airport (Uturoa Airport)
NTTU;Tupai Airport
NTTX;Mururoa Airport
NTUV;Vahitahi Airport
ATNR;Nomad River Airport
AYAA;Ama Airport
AYAE;Mount Aue Airport
AYAF;Afore Airport
