icao;airport
DBBN;Boundetingou Airport
DBBP;Parakou Airport
DBBS;Save Airport
TFFJ;Gustaf III Airport
TXKF;L.F. Wade International Airport
WBSB;Brunei International Airport
SLAG;Monteagudo Airport
SLAP;Apolo Airport
SLAS;Ascencion de Guarayos Airport
SLBJ;Bermejo Airport
SLBU;Baures Airport
SLCA;Camiri Airport
SLCB;Jorge Wilstermann International Airport
SLCO;Captain Anibal Arab Airport
SLCP;Concepcion Airport
SLET;El Trompillo Airport
SLGY;Guayaramerin Airport
SLHI;Chimore Airport
SLHJ;Huacaraje Airport
SLJE;San Jose de Chiquitos Airport
SLJO;San Joaquin Airport
SLJV;San Javier Airport (Bolivia)
SLLP;El Alto International Airport
SLMG;Magdalena Airport
SLOR;Juan Mendoza Airport
SLPO;Captain Nicolas Rojas Airport
SLPR;Puerto Rico Airport
SLPS;Puerto Suarez International Airport
SLRA;San Ramon Airport
SLRB;Robore Airport
SLRI;Riberalta Airport
SLRQ;Rurrenabaque Airport
SLRY;Reyes Airport
SLSA;Santa Ana del Yacuma Airport
SLSB;Capitan German Quiroga Guardia Airport
SLSI;Capitan Av. Juan Cochamanidis Air
SLSM;San Ignacio de Moxos Airport
SLSR;Santa Rosa Airport (Bolivia)
SLSU;Juana Azurduy de Padilla International Airport
SLTI;San Matias Airport
SLTJ;Capitan Oriel Lea Plaza Airport
SLTR;Teniente Jorge Henrich Arauz Airport
SLUY;Uyuni Airport (Joya Andina Airport)
SLVG;Cap. Av. Vidal Villagomez Toledo Airport
SLVM;Lieutenant Colonel Rafael Pabon Airport
SLVR;Viru Viru International Airport
SLYA;Yacuiba Airport
TNCB;Flamingo International Airport
TNCE;F. D. Roosevelt Airport
TNCS;Juancho E. Yrausquin Airport
SBAA;Conceicao do Araguaia Airport
SBAC;Aracati Airport
SBAE;Moussa Nakhl Tobias-Bauru/Arealva State Airport
SBAQ;Araraquara Airport
SBAR;Santa Maria Airport (Sergipe)
SBAS;Assis Airport
SBAT;Alta Floresta Airport
SBAU;Aracatuba Airport
SBAX;Araxa Airport
SBBE;Val de Cans International Airport
SBBG;Comandante Gustavo Kraemer Airport
SBBI;Bacacheri Airport
SBBP;Arthur Siqueira-Braganca Paulista State Airport
SBBR;Brasilia International Airport (Presidente J. Kubitschek Int'l Airport)
SBBT;Chafei Amsei Airport
SBBU;Bauru Airport
SBBV;Boa Vista International Airport
SBBW;Barra do Garcas Airport
SBBZ;Umberto Modiano Airport
SBCA;Cascavel Airport (Adalberto Mendes da Silva Airport)
SBCB;Cabo Frio International Airport
SBCD;Cacador Airport
SBCF;Tancredo Neves International Airport
SBCG;Campo Grande International Airport
SBCH;Serafin Enoss Bertaso Airport
SBCI;Carolina Airport
SBCJ;Carajas Airport
SBCM;Diomicio Freitas Airport
SBCN;Caldas Novas Airport
SBCP;Bartolomeu Lysandro Airport
SBCR;Corumba International Airport
SBCT;Afonso Pena International Airport
SBCV;Caravelas Airport
SBCX;Caxias do Sul Airport (Hugo Cantergiani Regional Airport)
SBCY;Marechal Rondon International Airport
SBCZ;Cruzeiro do Sul International Airport
SBDB;Bonito Airport
SBDN;Presidente Prudente Airport
SBEG;Eduardo Gomes International Airport
SBEK;Jacareacanga Airport
SBFI;Foz do Iguacu International Airport
SBFL;Hercilio Luz International Airport
SBFN;Fernando de Noronha Airport (Gov. Carlos Wilson Airport)
SBFZ;Pinto Martins - Fortaleza International Airport
SBGL;Galeao-Antonio Carlos Jobim International Airport
SBGM;Guajara-Mirim Airport
SBGO;Santa Genoveva Airport
SBGR;Guarulhos International Airport
SBGU;Tancredo Thomas de Faria Airport
SBGV;Coronel Altino Machado de Oliveira Airport
SBGW;Guaratingueta Airport
SBHT;Altamira Airport
SBIC;Itacoatiara Airport
SBIH;Itaituba Airport
SBIL;Ilheus Jorge Amado Airport
SBIP;Vale do Aco Regional Airport
SBIT;Itumbiara Airport
SBIZ;Imperatriz Airport (Prefeito Renato Moreira Airport)
SBJA;Humberto Ghizzo Bortoluzzi Regional Airport
SBJE;Comte. Ariston Pessoa Regional Airport
SBJF;Francisco Alvares de Assis Airport
SBJP;Presidente Castro Pinto International Airport
SBJR;Jacarepagua Airport
